[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 10450170
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 15602418
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 7583658
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 12435052
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 14885326
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 15966893
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 8000103
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 17779424
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 15741787
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 5980883
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 18086205
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 7516146
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 11829911
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 11444929
[17:26:38 14/04/2026] Player: songoku | Shop Type: Box/CMS Shop | Quantity: 13164621
